strain	virus	accession	date	region	country	segment	host	virus_type	originating_lab	submitting_lab	authors	url	title	journal	paper_url
civet010	sarslike	AY572035	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY572035	SARS-CoV infection in a restaurant from palm civet	Emerging Infect. Dis. 11 (12), 1860-1865 (2005)	?
civet020	sarslike	AY572038	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/AY572038	SARS-CoV infection in a restaurant from palm civet	Emerging Infect. Dis. 11 (12), 1860-1865 (2005)	?
CUHK_AG01	sarslike	AY345986	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Chim et al	https://www.ncbi.nlm.nih.gov/nuccore/AY345986	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	Lancet 362 (9398), 1807-1808 (2003)	?
CUHK_AG02	sarslike	AY345987	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Chim et al	https://www.ncbi.nlm.nih.gov/nuccore/AY345987	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	Lancet 362 (9398), 1807-1808 (2003)	?
CUHK_AG03	sarslike	AY345988	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Chim et al	https://www.ncbi.nlm.nih.gov/nuccore/AY345988	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	Lancet 362 (9398), 1807-1808 (2003)	?
CUHK_Su10	sarslike	AY282752	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	Tsui et al	https://www.ncbi.nlm.nih.gov/nuccore/AY282752	Coronavirus genomic-sequence variations and the epidemiology of the severe acute respiratory syndrome	N. Engl. J. Med. 349 (2), 187-188 (2003)	?
CUHK_W1	sarslike	AY278554	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Tsui et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278554	Coronavirus genomic-sequence variations and the epidemiology of the severe acute respiratory syndrome	N. Engl. J. Med. 349 (2), 187-188 (2003)	?
GD01	sarslike	AY278489	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	Wu et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278489	The E protein is a multifunctional membrane protein of SARS-CoV	Genomics Proteomics Bioinformatics 1 (2), 131-144 (2003)	?
GD69	sarslike	AY313906	2003-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY313906	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
GDH_BJH01	sarslike	DQ640652	?	China	China	genome	Human	SARS-CoV-1	?	?	Cai et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ640652	Direct Submission	Submitted (14-MAY-2006) National Center for Clinical Laboratory, Beijing Hospital, 1 Da Hua Road, Dong Dan, Beijing 100730, China	?
GZ_A	sarslike	AY394977	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394977	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
GZ_B	sarslike	AY394978	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394978	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
GZ_C	sarslike	AY394979	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394979	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
GZ_D	sarslike	AY394980	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394980	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
GZ02	sarslike	AY390556	2003-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Zhou et al	https://www.ncbi.nlm.nih.gov/nuccore/AY390556	SARS coronavirus GZ02 isolate genome sequence	Unpublished	?
GZ43	sarslike	AY304490	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304490	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
GZ50	sarslike	AY304495	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304495	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
GZ60	sarslike	AY304491	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304491	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
GZ0401	sarslike	AY568539	2004-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY568539	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
GZ0402	sarslike	AY613947	2004-XX-XX	China	China	genome	Human	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY613947	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
HC/GZ/32/03	sarslike	AY545918	2003-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545918	An Averted SARS Outbreak?	Unpublished	?
HC/GZ/81/03	sarslike	AY545917	2003-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545917	An Averted SARS Outbreak?	Unpublished	?
HC/SZ/61/03	sarslike	AY515512	?	China	China	genome	Civet	SARS-CoV-1	?	?	Yi et al	https://www.ncbi.nlm.nih.gov/nuccore/AY515512	An Averted SARS Outbreak?	Unpublished	?
HC/SZ/79/03	sarslike	AY545914	2003-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545914	An Averted SARS Outbreak?	Unpublished	?
HC/SZ/266/03	sarslike	AY545916	2003-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545916	An Averted SARS Outbreak?	Unpublished	?
HC/SZ/DM1/03	sarslike	AY545915	2003-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY545915	An Averted SARS Outbreak?	Unpublished	?
HGZ8L1_A	sarslike	AY394981	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394981	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HGZ8L1_B	sarslike	AY394982	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394982	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HGZ8L2	sarslike	AY394993	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394993	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HKU_36871	sarslike	AY304492	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304492	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
HKU_39849	sarslike	AY278491	2003-XX-XX	China	Hong Kong	genome	Human	SARS-CoV-1	?	?	Zeng et al	https://www.ncbi.nlm.nih.gov/nuccore/AY278491	The complete genome sequence of severe acute respiratory syndrome coronavirus strain HKU-39849 (HK-39)	Exp. Biol. Med. (Maywood) 228 (7), 866-873 (2003)	?
HKU_65806	sarslike	AY304493	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304493	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
HKU_66078	sarslike	AY304494	?	China	Hong Kong	genome	Unknown	SARS-CoV-1	?	?	Guan et al	https://www.ncbi.nlm.nih.gov/nuccore/AY304494	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	Science 302 (5643), 276-278 (2003)	?
HKU3_1	sarslike	DQ022305	?	China	China	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ022305	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	Proc. Natl. Acad. Sci. U.S.A. 102 (39), 14040-14045 (2005)	?
HKU3_2	sarslike	DQ084199	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ084199	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	Proc. Natl. Acad. Sci. U.S.A. 102 (39), 14040-14045 (2005)	?
HKU3_3	sarslike	DQ084200	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ084200	Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats	Proc. Natl. Acad. Sci. U.S.A. 102 (39), 14040-14045 (2005)	?
HKU3_4	sarslike	GQ153539	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153539	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_5	sarslike	GQ153540	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153540	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_6	sarslike	GQ153541	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153541	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_7	sarslike	GQ153542	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153542	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_8	sarslike	GQ153543	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153543	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_9	sarslike	GQ153544	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153544	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_10	sarslike	GQ153545	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153545	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_11	sarslike	GQ153546	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153546	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_12	sarslike	GQ153547	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153547	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HKU3_13	sarslike	GQ153548	?	?	Na	genome	Bat	SARS-like CoV	?	?	Lau et al	https://www.ncbi.nlm.nih.gov/nuccore/GQ153548	Ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related Rhinolophus bat coronavirus in China reveal bats as a reservoir for acute, self-limiting infection that allows recombination events	J. Virol. 84 (6), 2808-2819 (2010)	?
HSR_1	sarslike	AY323977	?	Europe	Italy	genome	Human	SARS-CoV-1	?	?	Vicenzi et al	https://www.ncbi.nlm.nih.gov/nuccore/AY323977	Coronaviridae and SARS-associated coronavirus strain HSR1	Emerging Infect. Dis. 10 (3), 413-418 (2004)	?
HSZ_A	sarslike	AY394984	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394984	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HSZ_Bb	sarslike	AY394985	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394985	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HSZ_Bc	sarslike	AY394994	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394994	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HSZ_Cb	sarslike	AY394986	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394986	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HSZ_Cc	sarslike	AY394995	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394995	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HSZ2_A	sarslike	AY394983	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394983	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_Bb	sarslike	AY395004	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY395004	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_C	sarslike	AY394992	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394992	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_D	sarslike	AY394989	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394989	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_E	sarslike	AY394990	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394990	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_Fb	sarslike	AY394987	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394987	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
HZS2_Fc	sarslike	AY394991	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394991	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
JMD	sarslike	AY394988	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394988	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
Kanagawa/1/2020	sarslike	EPI_ISL_402126	2020-01-14	Japan Korea	Japan	genome	Human	SARS-CoV-2	Dept. of Virology III, National Institute of Infectious Diseases, Tokyo, Japan	Dept. of Virology III, National Institute of Infectious Diseases, Tokyo, Japan	Nao et al	https://www.gisaid.org/	Newly discovered betacoronavirus, Wuhan 2019-2020	?	?
LC1	sarslike	AY394998	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394998	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
LC2	sarslike	AY394999	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY394999	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
LC3	sarslike	AY395000	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY395000	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
LC4	sarslike	AY395001	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY395001	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
LC5	sarslike	AY395002	2003-XX-XX	?	Na	genome	Human	SARS-CoV-1	?	?	?	https://www.ncbi.nlm.nih.gov/nuccore/AY395002	From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	Unpublished	?
LLJ_2004	sarslike	AY595412	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/AY595412	The genome sequence of the SARS-associated coronavirus	Unpublished	?
LYRa11	sarslike	KF569996	2011-XX-XX	China	China	genome	Bat	SARS-like CoV	?	?	He et al	https://www.ncbi.nlm.nih.gov/nuccore/KF569996	Identification of Diverse Alphacoronaviruses and Genomic Characterization of a Novel Severe Acute Respiratory Syndrome-Like Coronavirus from Bats in China	J. Virol. 88 (12), 7070-7082 (2014)	?
MA_15	sarslike	DQ497008	?	?	Na	genome	Mouse	SARS-CoV-1	?	?	Roberts et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ497008	A mouse-adapted SARS-coronavirus causes disease and mortality in BALB/c mice	PLoS Pathog. 3 (1), E5 (2007)	?
MA15	sarslike	FJ882945	2008-11-25	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Roberts et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ882945	A mouse-adapted SARS-coronavirus causes disease and mortality in BALB/c mice	PLoS Pathog. 3 (1), E5 (2007)	?
MA15_ExoN1_mutant	sarslike	FJ882951	2008-11-26	North America	USA	genome	Unknown	SARS-CoV-1	?	?	Roberts et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ882951	A mouse-adapted SARS-coronavirus causes disease and mortality in BALB/c mice	PLoS Pathog. 3 (1), E5 (2007)	?
Modified_Microbial_Nucleic_Acid	sarslike	FV537211	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Millar et al	https://www.ncbi.nlm.nih.gov/nuccore/FV537211	Modified Microbial Nucleic Acid	Patent: JP 2009538603-A 1190 12-NOV-2009; Human Genetic Signatures Pty Ltd	?
NS_1	sarslike	AY508724	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Zheng et al	https://www.ncbi.nlm.nih.gov/nuccore/AY508724	SARS coronavirus NS-1 complete genome sequence	Unpublished	?
P2	sarslike	FJ882963	2004-08-10	North America	USA	genome	Human	SARS-CoV-1	?	?	Spiro et al	https://www.ncbi.nlm.nih.gov/nuccore/FJ882963	Direct Submission	Submitted (31-MAR-2009) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?
pangolin/Guangdong/P2S/2019	sarslike	EPI_ISL_410544	2019	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P1E/2017	sarslike	EPI_ISL_410539	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P2V/2017	sarslike	EPI_ISL_410542	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P3B/2017	sarslike	EPI_ISL_410543	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P4L/2017	sarslike	EPI_ISL_410538	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P5E/2017	sarslike	EPI_ISL_410541	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
pangolin/Guangxi/P5L/2017	sarslike	EPI_ISL_410540	2017	China	China	genome	Pangolin	SARS-like CoV	?	?	Jiang et al	?	?	?	?
PC4_13	sarslike	AY613948	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY613948	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
PC4_136	sarslike	AY613949	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY613949	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
PC4_227	sarslike	AY613950	2004-XX-XX	China	China	genome	Civet	SARS-CoV-1	?	?	Song et al	https://www.ncbi.nlm.nih.gov/nuccore/AY613950	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	Proc. Natl. Acad. Sci. U.S.A. 102 (7), 2430-2435 (2005)	?
PUMC01	sarslike	AY350750	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Zou et al	https://www.ncbi.nlm.nih.gov/nuccore/AY350750	Direct Submission	Submitted (24-JUL-2003) Biochemistry and Molecular Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, 5# Dong Dan San Tiao, Beijing 100005, P.R. China	?
PUMC02	sarslike	AY357075	?	?	Na	genome	Unknown	SARS-CoV-1	?	?	Zou et al	https://www.ncbi.nlm.nih.gov/nuccore/AY357075	Direct Submission	Submitted (31-JUL-2003) Biochemistry and Molecular Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, 5# Dong Dan San Tiao, Beijing 100005, P.R. China	?
